Food,Category,Cuisine,Ingredients
Pizza,Fast Food,Italian,"cheese tomato bread oregano sauce"
Garlic Bread,Snack,Italian,"bread garlic butter cheese"
Pasta,Main Course,Italian,"pasta cheese tomato sauce"
White Sauce Pasta,Main Course,Italian,"pasta cheese white sauce"
Red Sauce Pasta,Main Course,Italian,"pasta tomato sauce cheese"
Burger,Fast Food,American,"bread meat cheese sauce"
French Fries,Snack,American,"potato salt ketchup"
Sandwich,Snack,American,"bread vegetables cheese sauce"
Taco,Snack,Mexican,"tortilla meat cheese salsa"
Nachos,Snack,Mexican,"chips cheese salsa sauce"
Biryani,Main Course,Indian,"rice spices chicken"
Paneer Tikka,Starter,Indian,"paneer spices yogurt"
Dosa,Breakfast,South Indian,"rice batter potato"
Idli,Breakfast,South Indian,"rice batter"
Fried Rice,Main Course,Chinese,"rice vegetables sauce"
Noodles,Main Course,Chinese,"noodles vegetables sauce"
Manchurian,Starter,Chinese,"vegetables sauce spicy"
Sushi,Main Course,Japanese,"rice fish seaweed"
Ramen,Main Course,Japanese,"noodles broth egg"
Momos,Snack,Chinese,"flour vegetables sauce"
